url,类型
https://www.amazon.com/Vitamix-Blender-Professional-Grade-Container-Black/dp/B008H4SLV6?ref=dlx_deals_dg_dcl_B008H4SLV6_dt_sl14_9e_pi&pf_rd_r=F7PQP2WXJPT919418759&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e&th=1,破壁机
https://www.amazon.com/Micro-Ingredients-Carvacrol-Thymoquinone-Antioxidant/dp/B0BXYKQBDC?ref=dlx_deals_dg_dcl_B0BXYKQBDC_dt_sl14_9e_pi&pf_rd_r=F7PQP2WXJPT919418759&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e,保健品
https://www.amazon.com/Fitbit-Smartwatch-Readiness-Exercise-Tracking/dp/B0B4MWCFV4?ref=dlx_deals_dg_dcl_B0B4MWCFV4_dt_sl14_9e_pi&pf_rd_r=F7PQP2WXJPT919418759&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e&th=1,手表
https://www.amazon.com/SAMSUNG-Cancelling-Optimization-Interpreter-Redesigned/dp/B0D9YZJ3V7?ref=dlx_deals_dg_dcl_B0D9YZJ3V7_dt_sl14_9e_pi&pf_rd_r=F7PQP2WXJPT919418759&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e&th=1,蓝牙耳机
https://www.amazon.com/ESR-iPhone-Pro-Max-Military-Grade/dp/B0DNDNMDSZ?ref=dlx_deals_dg_dcl_B0DNDNMDSZ_dt_sl14_9e_pi&pf_rd_r=F7PQP2WXJPT919418759&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e,手机壳
https://www.amazon.com/American-Soft-Linen-Softness-Absorbency/dp/B08CYBPMJC?ref=dlx_deals_dg_dcl_B08CYBPMJC_dt_sl14_9e_pi&pf_rd_r=EJ9TTH0K7QGQPH2B09Q5&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e&th=1,毛巾
https://www.amazon.com/Inspire-Nitrile-ORIGINAL-Cleaning-Disposable/dp/B0C3SSXL4K?ref=dlx_deals_dg_dcl_B0C3SSXL4K_dt_sl14_9e_pi&pf_rd_r=GTP2BNY1ZJRXEY54XA20&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e&th=1,手套
https://www.amazon.com/Magnesium-Breakthrough-Supplement-4-0-Bisglycinate/dp/B08WPLW4VN?ref=dlx_deals_dg_dcl_B08WPLW4VN_dt_sl14_9e_pi&pf_rd_r=1SHVH11M7N00N3C2K67S&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e&th=1,胶囊
https://www.amazon.com/Security-Activated-Spotlight-Enhanced-Outdoor/dp/B0CJ9YX7DG?ref=dlx_deals_dg_dcl_B0CJ9YX7DG_dt_sl14_9e_pi&pf_rd_r=T44SNMPQ1FDN5P2FB86V&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e&th=1,摄像头
https://www.amazon.com/upsimples-Picture-Display-Pictures-Without/dp/B07VQZSLDW?ref=dlx_deals_dg_dcl_B07VQZSLDW_dt_sl14_9e_pi&pf_rd_r=ARZFRK92E9GA49VDQN9Y&pf_rd_p=5741afe8-6913-401f-8c7f-c315ace7ff9e&th=1,相框
